Filename,a-pinene,linalool,methyl 2-hydroxybenzoate,b-caryophyllene,a-farnesene,benzaldehyde,indole,a-farnesol,(E)-hex-3-en-1-ol
STD3uL0.001D2rep4_762022_04.qgd,0,0,0,0,0,0,0,0,0
STD3uL0.001rep1_6282022_03.qgd,0,3126051,0,3638532,578959,4334603,5002914,0,0
STD3uL0.001rep2_6282022_03.qgd,0,1803369,0,2470422,0,1473922,0,0,0
STD3uL0.001rep3_6302022_03.qgd,387602,177936,223683,230075,0,161112,453764,0,136051
STD3uL0.01D1rep3_762022_07.qgd,1719671,5069539,3147532,5274746,1703000,254448,5201295,0,3140735
STD3uL0.01D2rep1_712022_04.qgd,1396773,7308061,6848016,9643786,1402479,457784,9301731,0,3741434
STD3uL0.01D2rep2_752022_04.qgd,2276166,4545786,3140865,4698838,1453100,316318,7282245,0,2661761
STD3uL0.01D2rep3_752022_04.qgd,2560839,6475274,4267255,8581368,3113514,384763,10109804,0,2784824
STD3uL0.01D2rep3_762022_06.qgd,3448558,8793185,5081589,8410147,1301428,331233,9192062,0,5611644
STD3uL0.01rep1_6282022_04.qgd,0,0,0,49345,0,83716,0,0,21595
STD3uL0.01rep2_6282022_04.qgd,1068758,4207947,4076650,5155674,993132,1011764,5587491,0,2077806
STD3uL0.01rep3_6302022_04.qgd,1036131,2435506,1790226,2647227,1064017,235175,3846017,0,1285552
Alkanes3uLof10uLmL_9282022_10.qgd,27270,0,0,67344,0,234157,0,0,0
Blank1_9282022_11.qgd,0,0,0,0,0,51698,33980,0,0
Blank2_9282022_12.qgd,0,0,12214,0,0,24181,13585,0,0
STD3uL0.0001D2Septrep1_9282022_01.qgd,74513,182217,84989,101575,0,202307,109966,0,0
STD3uL0.0001D2Septrep2_9282022_02.qgd,73507,157183,94581,78074,0,190795,0,0,0
STD3uL0.0001D2Septrep3_9282022_03.qgd,82608,286175,99929,81067,0,221068,73961,0,0
STD3uL0.001D2Septrep1_9282022_04.qgd,787392,913117,403238,774572,232933,193592,281646,135710,526704
STD3uL0.001D2Septrep2_9282022_05.qgd,606248,521708,271442,429211,0,155872,315015,0,373546
STD3uL0.001D2Septrep3_9282022_06.qgd,758152,640114,202939,498072,0,185195,179631,102260,435923
